address,name,kind,status,notes
0x00039f08,ending_send_next_tex,original-symbol,verified,Shipped i960 symbol table record 236
0x00039f60,load_ending_rep_data,original-symbol,verified,Shipped i960 symbol table record 237
0x0003a2e0,make_ending_cam_mat,original-symbol,verified,Shipped i960 symbol table record 238
0x0003a728,rec_init,original-symbol,verified,Shipped i960 symbol table record 239
0x0003a76c,rec_disp,original-symbol,verified,Shipped i960 symbol table record 240
0x0003a824,play_init,original-symbol,verified,Shipped i960 symbol table record 241
0x0003a830,play_init2,original-symbol,verified,Shipped i960 symbol table record 242
0x0003a9a8,rep_start_chk,original-symbol,verified,Shipped i960 symbol table record 243
0x0003aadc,play_disp,original-symbol,verified,Shipped i960 symbol table record 244
0x0003ac10,put_last_replay,original-symbol,verified,Shipped i960 symbol table record 245
0x0003ace8,load,original-symbol,verified,Shipped i960 symbol table record 246
0x0003d4b8,enemy_control,original-symbol,verified,Shipped i960 symbol table record 247
0x00043abc,sound_queue_output,original-symbol,verified,Shipped i960 symbol table record 248
0x00043c38,sqo_chicago,original-symbol,verified,Shipped i960 symbol table record 249
0x0004afb4,check_timer_4,original-symbol,verified,Shipped i960 symbol table record 250
0x0004b020,send_tex_default,original-symbol,verified,Shipped i960 symbol table record 251
0x0004b410,send_tex_stage,original-symbol,verified,Shipped i960 symbol table record 252; supersedes provisional name video_command_submit
0x0004b640,face_mot_control,original-symbol,verified,Shipped i960 symbol table record 253
0x0004b820,send_tex_efc,original-symbol,verified,Shipped i960 symbol table record 254
0x0004b838,send_tex_rob,original-symbol,verified,Shipped i960 symbol table record 255
0x0004b9b8,unp_send_tex_req,original-symbol,verified,Shipped i960 symbol table record 256
0x0004bb18,unp_send_tex_para,original-symbol,verified,Shipped i960 symbol table record 257; supersedes provisional name texture_orchestrator_save_call
0x0004bcd4,unp_send_tex_para_sub,original-symbol,verified,Shipped i960 symbol table record 258; supersedes provisional name texture_frame_gate_call
0x0004c180,unpack_lod_data,original-symbol,verified,Shipped i960 symbol table record 259; supersedes provisional name texture_header_decode
0x0004c928,make_huf_8bit,original-symbol,verified,Shipped i960 symbol table record 260
0x0004c9dc,send_beta_data,original-symbol,verified,Shipped i960 symbol table record 261
0x0004cb64,send_lod_data,original-symbol,verified,Shipped i960 symbol table record 262; supersedes provisional name texture_word_prepare
0x0004cd18,send_lod_data_q,original-symbol,verified,Shipped i960 symbol table record 263; supersedes provisional name texture_color_prepare
0x0004ce88,send_lod_data_q_sub_norm,original-symbol,verified,Shipped i960 symbol table record 264
0x0004cfc4,send_lod_data_q_sub_anim,original-symbol,verified,Shipped i960 symbol table record 265
0x0004d2c0,dsp_send_msg,original-symbol,verified,Shipped i960 symbol table record 266; supersedes provisional name texture_status_line
0x00051d3c,sampling_init,original-symbol,verified,Shipped i960 symbol table record 267
0x00051e7c,sampling,original-symbol,verified,Shipped i960 symbol table record 268
0x00051f98,hit_and_guard_check,original-symbol,verified,Shipped i960 symbol table record 269
0x000520d0,make_action_table,original-symbol,verified,Shipped i960 symbol table record 270
0x00052378,recog_sample,original-symbol,verified,Shipped i960 symbol table record 271
0x000523b0,recog_sample_loop,original-symbol,verified,Shipped i960 symbol table record 272
0x000523c0,recog_sample_loop1,original-symbol,verified,Shipped i960 symbol table record 273
0x000523e8,recog_sample_skip,original-symbol,verified,Shipped i960 symbol table record 274
0x000523fc,recog_sample_next_sample,original-symbol,verified,Shipped i960 symbol table record 275
0x00052418,recog_sample_next_sample2,original-symbol,verified,Shipped i960 symbol table record 276
0x0005242c,recog_sample_scan_end1,original-symbol,verified,Shipped i960 symbol table record 277
0x0005243c,recog_sample_scan_end1_1,original-symbol,verified,Shipped i960 symbol table record 278
0x00052488,recog_sample_scan_end1_2,original-symbol,verified,Shipped i960 symbol table record 279
0x000524ac,recog_sample_scan_end1_3,original-symbol,verified,Shipped i960 symbol table record 280
0x000524d8,recog_sample_scan_end2,original-symbol,verified,Shipped i960 symbol table record 281
0x00052974,rank_check,original-symbol,verified,Shipped i960 symbol table record 282
0x00052e7c,make_personal_table,original-symbol,verified,Shipped i960 symbol table record 283
0x00053884,reject_sample,original-symbol,verified,Shipped i960 symbol table record 284
0x00053cb8,name_entry,original-symbol,verified,Shipped i960 symbol table record 285
0x0006010c,sram_clear_for_game_assign,original-symbol,verified,Shipped i960 symbol table record 286
0x00060330,sram_clear_for_coin_assign,original-symbol,verified,Shipped i960 symbol table record 287
0x00061684,rob_kage_set_flag,original-symbol,verified,Shipped i960 symbol table record 288
0x00061b88,rob_kage_disp_outside,original-symbol,verified,Shipped i960 symbol table record 289
0x00062fac,hat_off_disp,original-symbol,verified,Shipped i960 symbol table record 290
0x000640f4,osage_init,original-symbol,verified,Shipped i960 symbol table record 291; supersedes provisional name task_osage
0x0006428c,osage_dsp,original-symbol,verified,Shipped i960 symbol table record 292
0x00064864,os_set_matrix,original-symbol,verified,Shipped i960 symbol table record 293
0x00064ca0,os_set_tsukene,original-symbol,verified,Shipped i960 symbol table record 294
0x00064e5c,os_set_coli,original-symbol,verified,Shipped i960 symbol table record 295
0x000651bc,os_set_osage,original-symbol,verified,Shipped i960 symbol table record 296
0x00065318,os_set_etc,original-symbol,verified,Shipped i960 symbol table record 297
0x00065384,osage_copro,original-symbol,verified,Shipped i960 symbol table record 298
0x0006b19c,vic_camera_init,original-symbol,verified,Shipped i960 symbol table record 299
0x0006ca84,object_control,original-symbol,verified,Shipped i960 symbol table record 300
0x0006dd4c,check_sram_all,original-symbol,verified,Shipped i960 symbol table record 301
